FC Bayern Muenchen;RB Leipzig;6;0
Bayer Leverkusen;TSG Hoffenheim;1;2
Eintracht Frankfurt;Werder Bremen;4;1
SC Freiburg;FC Augsburg;1;3
1. FC Union Berlin;VfB Stuttgart;2;1
1. FC Heidenheim;VfL Wolfsburg;1;3
FC St. Pauli;Borussia Dortmund;3;3
1. FSV Mainz 05;1. FC Koeln;0;1
Borussia Moenchengladbach;Hamburger SV;0;0
Hamburger SV;FC St. Pauli;0;2
RB Leipzig;1. FC Heidenheim;2;0
Werder Bremen;Bayer Leverkusen;3;3
VfB Stuttgart;Borussia Moenchengladbach;1;0
TSG Hoffenheim;Eintracht Frankfurt;1;3
FC Augsburg;FC Bayern Muenchen;2;3
VfL Wolfsburg;1. FSV Mainz 05;1;1
Borussia Dortmund;1. FC Union Berlin;3;0
1. FC Koeln;SC Freiburg;4;1
Bayer Leverkusen;Eintracht Frankfurt;3;1
SC Freiburg;VfB Stuttgart;3;1
1. FSV Mainz 05;RB Leipzig;0;1
VfL Wolfsburg;1. FC Koeln;3;3
1. FC Union Berlin;TSG Hoffenheim;2;4
1. FC Heidenheim;Borussia Dortmund;0;2
FC Bayern Muenchen;Hamburger SV;5;0
FC St. Pauli;FC Augsburg;2;1
Borussia Moenchengladbach;Werder Bremen;0;4